Keys;Values
0;HELP000
1;HELP001
2;HELP002
3;HELP003
4;HELP004
5;HELP005
6;HELP006
7;HELP007
8;HELP008
9;HELP009
10;HELP010
11;HELP011
12;HELP012
13;HELP013
14;HELP014
15;HELP015
16;HELP016
17;HELP017
18;HELP018
19;HELP019
20;HELP020
21;HELP021
22;HELP022
23;HELP023
24;HELP024
25;HELP025
26;HELP026
27;HELP027
28;HELP028
29;HELP029
30;HELP030
31;HELP031
32;HELP032
33;HELP033
34;HELP034
35;HELP035
36;HELP036
37;HELP037
38;HELP038
39;HELP039
40;HELP040
41;HELP041
42;HELP042
43;HELP043
44;HELP044
45;HELP045
46;HELP046
47;HELP047
48;HELP048
49;HELP049
50;HELP050
51;HELP051
52;HELP052
53;HELP053
54;HELP054
55;HELP055
56;HELP056
57;HELP057
58;HELP058
59;HELP059
60;HELP060
61;HELP061
62;HELP062
63;HELP063
64;HELP064
65;HELP065
66;HELP066
67;HELP067
68;HELP068
69;HELP069
70;HELP070
71;HELP071
72;HELP072
73;HELP073
74;HELP074
75;HELP075
76;HELP076
77;HELP077
78;HELP078
79;HELP079
80;HELP080
81;HELP081
82;HELP082
83;HELP083
84;HELP084
85;HELP085
86;HELP086
87;HELP087
88;HELP088
89;HELP089
90;HELP090
91;HELP091
92;HELP092
93;HELP093
94;HELP094
95;HELP095
96;HELP096
97;HELP097
98;HELP098
99;HELP099
100;HELP100
101;HELP101
102;HELP102
103;HELP103
104;HELP104
105;HELP105
106;HELP106
107;HELP107
108;HELP108
109;HELP109
110;HELP110
111;HELP111
112;HELP112
113;HELP113
114;HELP114
115;HELP115
116;HELP116
117;HELP117
118;HELP118
119;HELP119
120;HELP120
121;HELP121
122;HELP122
123;HELP123
124;HELP124
125;HELP125
126;HELP126
127;HELP127
128;HELP128
129;HELP129
130;HELP130
131;HELP131
132;HELP132
133;HELP133
134;HELP134
135;HELP135
136;HELP136
137;HELP137
138;HELP138
139;HELP139
140;HELP140
141;HELP141
142;HELP142
143;HELP143
144;HELP144
145;HELP145
146;HELP146
147;HELP147
148;HELP148
149;HELP149
150;HELP150
151;HELP151
152;HELP152
153;HELP153
154;HELP154
155;HELP155
156;HELP156
157;HELP157
158;HELP158
159;HELP159
160;HELP160
161;HELP161
162;HELP162
163;HELP163
164;HELP164
165;HELP165
166;HELP166
167;HELP167
168;HELP168
169;HELP169
170;HELP170
171;HELP171
172;HELP172
173;HELP173
174;HELP174
175;HELP175
176;HELP176
177;HELP177
178;HELP178
179;HELP179
180;HELP180
181;HELP181
182;HELP182
183;HELP183
184;HELP184
185;HELP185
186;HELP186
187;HELP187
188;HELP188
189;HELP189
190;HELP190
191;HELP191
192;HELP192
193;HELP193
194;HELP194
195;HELP195
196;HELP196
197;HELP197
198;HELP198
199;HELP199
200;HELP200
201;HELP201
202;HELP202
203;HELP203
204;HELP204
205;HELP205
206;HELP206
207;HELP207
208;HELP208
209;HELP209
210;HELP210
211;HELP211
212;HELP212
213;HELP213
214;HELP214
215;HELP215
216;HELP216
217;HELP217
218;HELP218
219;HELP219
220;HELP220
221;HELP221
222;HELP222
223;HELP223
224;HELP224
225;HELP225
226;HELP226
227;HELP227
228;HELP228
229;HELP229
230;HELP230
231;HELP231
232;HELP232
233;HELP233
234;HELP234
235;HELP235
236;HELP236
237;HELP237
238;HELP238
239;HELP239
240;HELP240
241;HELP241
242;HELP242
243;HELP243
244;HELP244
245;HELP245
246;HELP246
247;HELP247
248;HELP248
249;HELP249
250;HELP250
251;HELP251
252;HELP252
253;HELP253
254;HELP254
255;HELP255
256;HELP256
257;HELP257
258;HELP258
259;HELP259
260;HELP260
261;HELP261
262;HELP262
263;HELP263
264;HELP264
265;HELP265
266;HELP266
267;HELP267
268;HELP268
269;HELP269
270;HELP270
271;HELP271
272;HELP272
273;HELP273
274;HELP274
275;HELP275
276;HELP276
277;HELP277
278;HELP278
279;HELP279
280;HELP280
281;HELP281
282;HELP282
283;HELP283
284;HELP284
285;HELP285
286;HELP286
287;HELP287
288;HELP288
289;HELP289
290;HELP290
291;HELP291
292;HELP292
293;HELP293
294;HELP294
295;HELP295
296;HELP296
297;HELP297
298;HELP298
299;HELP299
300;HELP300
301;HELP301
302;HELP302
303;HELP303
304;HELP304
305;HELP305
306;HELP306
307;HELP307
308;HELP308
309;HELP309
310;HELP310
311;HELP311
312;HELP312
313;HELP313
314;HELP314
315;HELP315
316;HELP316
317;HELP317
318;HELP318
319;HELP319
